id,nombre,grupo,categoria,alcaldia,fecha_decreto,fecha_decreto_iso,superficie,programa_manejo,fecha_pm,fecha_pm_iso,suelo_conservacion,observaciones,dg_responsable,url_pdf_decreto,url_gaceta_decreto,url_pdf_pm,url_gaceta_pm,,
28,Milpa Vieja,AVA · Barranca,Barranca,Cuajimalpa de Morelos,01/12/2011,01/12/2011,30.88,Sí,30/11/2012,30/11/2012,No,,DGSANPAVA,,,,,,
29,Mimosas,AVA · Barranca,Barranca,Cuajimalpa de Morelos,01/12/2011,01/12/2011,3.99,Sí,03/12/2012,03/12/2012,No,,DGSANPAVA,,,,,,
30,Mixcoac,AVA · Barranca,Barranca,Álvaro Obregón,28/11/2012,28/11/2012,84.7,No,—,,No,,DGSANPAVA,,,,,,
31,Pachuquilla,AVA · Barranca,Barranca,Cuajimalpa de Morelos,01/12/2012,01/12/2012,20.58,Sí,03/12/2012,03/12/2012,Sí,,DGSANPAVA,,,,,,
32,Río Becerra Tepehuache,AVA · Barranca,Barranca,Álvaro Obregón,15/06/2022,15/06/2022,34.55,Sí,30/11/2012,30/11/2012,No,,DGSANPAVA,,,,,,
33,San Borja,AVA · Barranca,Barranca,Álvaro Obregón,28/11/2012,28/11/2012,23.66,No,—,,No,,DGSANPAVA,,,,,,
34,Santa Rita,AVA · Barranca,Barranca,Cuajimalpa de Morelos,01/12/2012,01/12/2012,3.03,Sí,03/12/2012,03/12/2012,No,,DGSANPAVA,,,,,,
35,Tarango (Puerta Grande y Puerta Colorado),AVA · Barranca,Barranca,Álvaro Obregón,22/07/2009,22/07/2009,267.18,No,—,,No,,DGSANPAVA,,,,,,
36,Tecamachalco,AVA · Barranca,Barranca,Miguel Hidalgo,23/12/2013,23/12/2013,11.83,Sí,23/12/2011,23/12/2011,No,,DGSANPAVA,,,,,,
37,Texcalatlaco,AVA · Barranca,Barranca,"Álvaro Obregón, La Magdalena Contreras",28/11/2012,28/11/2012,24.42,No,—,,No,,DGSANPAVA,,,,,,
38,Vista Hermosa,AVA · Barranca,Barranca,Álvaro Obregón,28/11/2012,28/11/2012,0.32,Sí,04/12/2012,04/12/2012,No,,DGSANPAVA,,,,,,
39,Volta y Koch,AVA · Barranca,Barranca,Álvaro Obregón,15/06/2012,15/06/2012,1.82,Sí,26/11/2018,26/11/2018,No,,DGSANPAVA,,,,,,
40,Bosque de las Lomas,ANP · Local,Zona Sujeta a Conservación Ecológica,Miguel Hidalgo,10/08/1994,10/08/1994,26.4,Sí,23/06/2017,23/06/2017,No,,DGSANPAVA,,,,,,
41,Bosque de Tláhuac,ANP · Local,Zona de Protección Especial,Tláhuac,29/01/2024,29/01/2024,58.77,No,—,,Sí,,DGSANPAVA,,,,,,
42,Bosque de Tlalpan,ANP · Local,Zona Ecológica y Cultural,Tlalpan,17/06/2011,17/06/2011,252.86,Sí,20/06/2011,20/06/2011,No,,DGSANPAVA,,,,,,
43,Cerro de la Estrella (local),ANP · Local,Zona Ecológica y Cultural,Iztapalapa,02/11/2005,02/11/2005,121.77,Sí,06/04/2007,06/04/2007,Sí,,DGSANPAVA,,,,,,
44,Ecoguardas,ANP · Local,Zona de Conservación Ecológica,Tlalpan,20/11/2006,20/11/2006,132.63,Sí,04/12/2018,04/12/2018,Sí,,DGSANPAVA,,,,,,
45,Ejidos de Xochimilco y San Gregorio Atlapulco,ANP · Local,Zona Sujeta a Conservación Ecológica,"Xochimilco, Tláhuac",04/12/2006,04/12/2006,2522.43,Sí,26/02/2018,26/02/2018,Sí,,DGSANPAVA,,,,,,
46,La Armella,ANP · Local,Zona de Conservación Ecológica,Gustavo A. Madero,09/06/2006,09/06/2006,193.38,Sí,08/12/2006,08/12/2006,Sí,,DGSANPAVA,,,,,,
47,La Loma,ANP · Local,Zona de Conservación Ecológica,Álvaro Obregón,20/04/2010,20/04/2010,77.33,Sí,21/05/2012,21/05/2012,No,,DGSANPAVA,,,,,,
48,Los Encinos,ANP · Local,Zona de Protección Hidrológica y Ecológica,Tlalpan,01/12/2009,01/12/2009,25.01,Sí,29/12/2016,29/12/2016,No,,DGSANPAVA,,,,,,
49,Parque Ecológico de la Ciudad de México,ANP · Local,Zona Sujeta a Conservación Ecológica,Tlalpan,28/06/1989,28/06/1989,727.61,Sí,10/09/2021,10/09/2021,Sí,,DGSANPAVA,,,,,,
50,San Bernabé Ocotepec,ANP · Local,Reserva Ecológica Comunitaria,"La Magdalena Contreras, Álvaro Obregón",21/06/2010,21/06/2010,240.38,No,—,,Sí,,DGCORENADR,,,,,,
51,San Miguel Ajusco,ANP · Local,Reserva Ecológica Comunitaria,Tlalpan,16/11/2010,16/11/2010,1175.99,No,—,,Sí,,DGCORENADR,,,,,,
52,San Miguel Topilejo,ANP · Local,Reserva Ecológica Comunitaria,"Tlalpan, Milpa Alta",26/06/2007,26/06/2007,6000.29,No,—,,Sí,,DGCORENADR,,,,,,
53,San Nicolás Totolapan,ANP · Local,Reserva Ecológica Comunitaria,"La Magdalena Contreras, Tlalpan",29/11/2006,29/11/2006,1984.7,No,—,,Sí,,DGCORENADR,,,,,,
54,Sierra de Guadalupe (local),ANP · Local,Zona Sujeta a Conservación Ecológica,Gustavo A. Madero,20/08/2002,20/08/2002,633.68,Sí,08/11/2016,08/11/2016,Sí,,DGSANPAVA,,,,,,
55,Sierra de Santa Catarina (ZCE),ANP · Local,Zona de Conservación Ecológica,"Iztapalapa, Tláhuac",21/08/2003,21/08/2003,528,Sí,19/08/2005,19/08/2005,Sí,,DGSANPAVA,,,,,,
56,Sierra de Santa Catarina (ZSCE),ANP · Local,Zona Sujeta a Conservación Ecológica,"Tláhuac, Iztapalapa",21/08/2003,21/08/2003,220.55,Sí,19/08/2005,19/08/2005,Sí,,DGSANPAVA,,,,,,
57,Tempiluli,ANP · Local,Zona de Protección Especial,Tláhuac,11/08/2011,11/08/2011,47.55,Sí,06/11/2023,06/11/2023,Sí,,DGCORENADR,,,,,,
58,Cerro de la Estrella (federal),ANP · Federal,Parque Nacional,Iztapalapa,24/08/1938,24/08/1938,1100,Sí,16/04/2007,16/04/2007,Sí,,DGSANPAVA,,,,,,
59,Cumbres del Ajusco,ANP · Federal,Parque Nacional,Tlalpan,26/08/1936,26/08/1936,920,No,—,,Sí,,DGCORENADR,,,,,,
60,Desierto de los Leones,ANP · Federal,Parque Nacional,Cuajimalpa de Morelos,27/11/1917,27/11/1917,1529,Sí,22/05/2006,22/05/2006,Sí,,DGSANPAVA,,,,,,
61,El Histórico Coyoacán,ANP · Federal,Parque Nacional,Coyoacán,26/09/1938,26/09/1938,39.76,No,—,,No,,DGSANPAVA,,,,,,
62,El Tepeyac,ANP · Federal,Parque Nacional,Gustavo A. Madero (CDMX) / Tlalnepantla de Baz (EDOMEX),18/02/1937,18/02/1937,1500,No,—,,Sí,,DGSANPAVA,,,,,,
63,Fuentes Brotantes de Tlalpan,ANP · Federal,Parque Nacional,Tlalpan,28/09/1936,28/09/1936,129,No,—,,No,,DGSANPAVA,,,,,,
64,Insurgente Miguel Hidalgo y Costilla,ANP · Federal,Parque Nacional,Cuajimalpa de Morelos,18/09/1936,18/09/1936,525.05,Sí,21/04/2019,21/04/2019,Sí,,DGSANPAVA,,,,,,
65,Lago Tláhuac-Xico,ANP · Federal,Área de Protección de Recursos Naturales,Tláhuac,08/01/2024,08/01/2024,3545.41,No,—,,Sí,,DGCORENADR,,,,,,
66,Lomas de Padierna,ANP · Federal,Parque Nacional,"La Magdalena Contreras, Álvaro Obregón, Tlalpan",22/04/1938,22/04/1938,1161.21,No,—,,Sí,,DGSANPAVA,,,,,,
